video_id,video_title,channel_name,keyword_used,comment_id,author,comment_text,language,published_at,like_count,is_reply,parent_comment_id
uinNCxVrz5g,ఏంటి నీకు ఇంత మంది పిల్లల నువ్వు మావులు వాడివి కాదు|#chandrababu #tdp #konaseema @News25Network,News25 Telugu,Chandrababu,Ugz7amI3l4ZBzFepqpV4AaABAg,@RajiRaji-xd3lc,మొత్తానికి తాత సాధించాడు😅😅😅😅 చంద్రబాబు నాయుడు ని కలిశాడు😅😅😅,te,2026-06-08T16:53:19Z,0,False,
6QWB3PVlBjY,నీ ఆరోగ్య రహస్యం ఏంటి తాత? | Eluru Old Man Satyanarayana Meet CM Chandrababu | RTV,RTV ,Chandrababu,Ugw2NgobaIFPR_9U1Qh4AaABAg,@Holy-gvk,అబద్ధం,te,2026-06-08T17:28:12Z,0,False,
6QWB3PVlBjY,నీ ఆరోగ్య రహస్యం ఏంటి తాత? | Eluru Old Man Satyanarayana Meet CM Chandrababu | RTV,RTV ,Chandrababu,UgxJPHRCOS5wuYCqpk14AaABAg,@krishnakarpula2331,చెంద్రబాబు గారు గొప్పతనం 🙏🙏,te,2026-06-08T16:36:50Z,0,False,
LZuDf059Odo,"సిద్ధాంతం వచ్చి, సత్యన్నారాయణ గారి కల నెరవేర్చిన చంద్రబాబు",Amaravati Voice,Chandrababu,UgzfPfOkEXDSqvZ58jV4AaABAg,@srinivaspokuri9277,Great leader ❤❤❤❤❤,en,2026-06-08T17:33:11Z,0,False,
LZuDf059Odo,"సిద్ధాంతం వచ్చి, సత్యన్నారాయణ గారి కల నెరవేర్చిన చంద్రబాబు",Amaravati Voice,Chandrababu,UgyN_qsnlrKDM0e2aUh4AaABAg,@1967seenu,Brahmins Heartly wishes means Thrimoorthla Aasirvadham 🙏.,en,2026-06-08T16:30:53Z,2,False,
LZuDf059Odo,"సిద్ధాంతం వచ్చి, సత్యన్నారాయణ గారి కల నెరవేర్చిన చంద్రబాబు",Amaravati Voice,Chandrababu,Ugw6duNt6mQautTAl1N4AaABAg,@bhupathiravikumar,రియల్లీ రియల్లీ గ్రేట్ లీడర్ చంద్రబాబు నాయుడు గారు... ప్రజల కోసం ప్రజాసేవ కోసమే జన్మించిన మహోన్నతమైన వ్యక్తి... భావితరాలకు ఆదర్శప్రాయుడు 🙏🙏,te,2026-06-08T16:23:04Z,4,False,
LZuDf059Odo,"సిద్ధాంతం వచ్చి, సత్యన్నారాయణ గారి కల నెరవేర్చిన చంద్రబాబు",Amaravati Voice,Chandrababu,UgwRC_q76VX6KvpyBvh4AaABAg,@BabuRaoMucha,బాబు గారు గ్రేట్ 🌹🌹🌹🌹,te,2026-06-08T16:11:04Z,3,False,
LZuDf059Odo,"సిద్ధాంతం వచ్చి, సత్యన్నారాయణ గారి కల నెరవేర్చిన చంద్రబాబు",Amaravati Voice,Chandrababu,UgxCT5Fg8Hn6aLpndxx4AaABAg,@RavindrababuAddepalli,best leader in world,en,2026-06-08T16:10:38Z,3,False,
LZuDf059Odo,"సిద్ధాంతం వచ్చి, సత్యన్నారాయణ గారి కల నెరవేర్చిన చంద్రబాబు",Amaravati Voice,Chandrababu,UgzBevOf69Nqz7b4xiJ4AaABAg,@LVR7,CBN GARU meeru 💯 years Health happiness tho Challa ga Vundali GOD 🙏🙏🙏❤️❤️ GOD BLESSINGS FOREVER VUNDALI CBN GARI KE GOD 🙏🙏🙏🙏❤️❤️,en,2026-06-08T15:20:52Z,4,False,
LZuDf059Odo,"సిద్ధాంతం వచ్చి, సత్యన్నారాయణ గారి కల నెరవేర్చిన చంద్రబాబు",Amaravati Voice,Chandrababu,UgytHRqe0ulNCJKFzip4AaABAg,@sambasivaraomannava,CBN గారి ప్రేమ అది అతని కల నెరవేరింది,te,2026-06-08T15:07:07Z,12,False,
