keyword,video_title,video_url,publish_date,transcript_source,transcript_language,summary,comment_author,comment_text,comment_likes
Chandrababu Naidu,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,https://www.youtube.com/watch?v=lMfye4oL6mQ,2026-06-08,failed,,No transcript available.,@ananda1948,బాబుగారు మీ అవ్యాజమైన ప్రేమకు పాత్రుడైన ఈ పెద్దవారు అదృష్టవంతుడు ❤❤...,51
Chandrababu Naidu,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,https://www.youtube.com/watch?v=lMfye4oL6mQ,2026-06-08,failed,,No transcript available.,@DanialParigala,"Respected Sir ,  బాబు  మీరు లెక్కెయ్యండి  అనగానే  మీరు ఆనందంతో  తృప్తిగా  నవ్వారు సార్ . తెలుగు వారి భవిష్యత్తును  దృష్టిలో  ఉంచుకుని జనాభా  పెరుగుదలకు  మీ ఆలోచనలు , పాలసీలు అధ్బుతం సార్.",15
Chandrababu Naidu,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,https://www.youtube.com/watch?v=lMfye4oL6mQ,2026-06-08,failed,,No transcript available.,@vishnuleelatelugueducation369,తాత గారి. ఆనందం. మామూలుగా  లేదు 🙏🙏🙏,9
Chandrababu Naidu,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,https://www.youtube.com/watch?v=lMfye4oL6mQ,2026-06-08,failed,,No transcript available.,@akhilyella7411,"తాతగారు చంద్రబాబు నాయుడు గారిని సందర్శించిన తర్వాత ""అమృతం""😜 లాంటి అవకాశం పొంది, తన కోరికలన్నీ నెరవేర్చుకున్నారు. నాయకులు ఎల్లప్పుడూ తమ ప్రియమైనవారికి అండగా ఉంటారు👏👏",16
Chandrababu Naidu,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,https://www.youtube.com/watch?v=lMfye4oL6mQ,2026-06-08,failed,,No transcript available.,@nv3s894,CBN sir is down to earth leader. Hats off sir for your generous towards your hardcore sympathisers. Their blesses always there for you and your party for LIVE LONG.,12
Chandrababu Naidu,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,https://www.youtube.com/watch?v=lMfye4oL6mQ,2026-06-08,failed,,No transcript available.,@raviteja163,"Very humble sir 👌🙏🙏🙏 
Thank you",0
Chandrababu Naidu,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,https://www.youtube.com/watch?v=lMfye4oL6mQ,2026-06-08,failed,,No transcript available.,@kiranaddanki1984,Exalent experience good information about this video health is wealth,5
Chandrababu Naidu,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,https://www.youtube.com/watch?v=lMfye4oL6mQ,2026-06-08,failed,,No transcript available.,@anjaneyulu06,CM ante elage undali ennisarlu chusina malli malli chudali anipistundi eee video but maku eppudo Elanti bhagyam,10
Chandrababu Naidu,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,https://www.youtube.com/watch?v=lMfye4oL6mQ,2026-06-08,failed,,No transcript available.,@GuruP-s9c,👉👉👉 తాత ఆనందం చెప్పలేము   గ్రేట్ C B N సార్ 🙏🙏🙏🙏🙏✌️✌️✌️✌️✌️,27
Chandrababu Naidu,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,https://www.youtube.com/watch?v=lMfye4oL6mQ,2026-06-08,failed,,No transcript available.,@MCS__98,CBN Garu You are Great Sir mi Gurinche enta Cheppina Takkuvee ❤😊,6
